content,label
 〿00324 求助】医院一直不给减少药量咋办啊 一直没减少,1
 谢谢,1
 就是这样治好皿,1
 怎么栿    听听歿就睡着亿666 加油,1
 感觉效果不错,1
 愁死亿,1
 渡人不渡巿一天像行尸走肉般好累活着,1
 我不知道我为什乿,1
 吃到什么时候是个头啿 确实效果奿我是第二次复叿,1
 头也不那么痛亿你可以试试开导一下我,1
 当时负倿0多万＿,1
 抑郁症康复耿抑郁症康复耿,1
 眼睛里像进玻璃一栿,1
 就会转移注意力少些心里包袿,1
 兄弟你提前退伍是怎样的？有退伍证和别的一些补助么？还是和我一样啥都没朿,1
 从不吃药,1
 重度抑郁重度焦虑轻度精神分裂还有社恐和强迫症 我觉得还是分情况叿还真有些人确实有抑郁症但是没钱去医院的_(:ᗤ」ㄥ)_,1
 你可以借鉴皿,1
 现在导致肾阳虚、神经衰弱）,1
 现用药：文拉法辛、精乌胶囊、B6,1
 可是我听医生说现在全国任何医院都开不了康复证明不知道是不是真的？希望知道的人给我一些意觿,1
 死了就能解脱着冰冷的世界了吿,1
 只能打字才能说出板一楼的是『我告诉她：我不想和你说〿,1
 感觉自己好像坚持不下去了‿不敢死又不想活…‿自己真的辛苦了‿ 我在赖活着 要下雨了 还会有甜吗？  坚强 一顿骂是少不了的了 白天就心惊肉跳咽喉梗阻像尸体一样瘫软着‿ 但是白天吃佐匹克隆的可能只有我一个人吧orz…‿ 这他妈是什么人间疾苦‿就是我活着的现犿就好了……‿心慌、害怕‿和妈妈都哭了…妈妈说她不能没有我…‿我只需要你抱着我就奿我该不是发现这个药效的第一人吧＿不知道佐匹克隆一天最多能磕几片啊＿也不知道度洛西丁戒断反应啥时候能过去 轮着来吧 晚安💤  都是不被老天爱怜的孩子呿晚安 黛力新也不管用呀…‿你可一定要管用呀…‿佐匹克隆好像有点不管用了怎么办…‿  万一呢…‿我想悠闲的过我漫长的一生啊 我在尽力啿目前看来无药可医‿便不会再有其他的念想了‿戒断反应生不如死‿也许能有一种药可医医好房 顿难道没有嘛？ 有的小伙伴报个道板,1
 我也是抑郁症,1
 感觉要疯亿,1
 “我知道‿不知道那段时间怎么熬过来的,1
 现在貌似复发亿能睡着真好,1
 还有很多人和你一栿我们也在和抑郁症斗争,1
 已经停药 我都还活着 我很满意这样的状怿,1
 开的启稿,1
 我的朋友们可能已经把我忘记了 我现在只想说说话 查出这个病已经整整一年了 心理辅导,1
 不过我已经远离所有人亿,1
 医生让我住院,1
" 氟伏沙明 <a href=""http://tieba.baidu.com/hottopic/browse/hottopic?topic_id=0&topic_name=3%20""><a href=""http://tieba.baidu.com/hottopic/browse/hottopic?topic_id=0&topic_name=3%20"">#3 #</a></a>5.. <a href=""http://tieba.baidu.com/hottopic/browse/hottopic?topic_id=0&topic_name=6%20""><a href=""http://tieba.baidu.com/hottopic/browse/hottopic?topic_id=0&topic_name=6%20"">#6 #</a></a>7‿     氟伏沙明 3刿 矿夿较大可能 效果相当于西酞普兿0毫克；其实本质相吿   大家普及下抑郁症相关药物治疗知识 可以吃一个月  应该怎么势 应该怎么势 你好",1
