id,class_label,rank_label
0,游戏,低风险
1,体育,可公开
2,科技,中风险
3,房产,中风险
4,游戏,低风险
5,科技,中风险
6,房产,中风险
7,时尚,低风险
8,时政,高风险
9,娱乐,可公开
10,时政,高风险
11,时政,高风险
12,财经,高风险
13,房产,中风险
14,房产,中风险
15,财经,高风险
16,科技,中风险
17,科技,中风险
18,游戏,低风险
19,家居,可公开
20,房产,中风险
21,游戏,低风险
22,财经,高风险
23,时政,高风险
24,房产,中风险
25,家居,可公开
26,时政,高风险
27,游戏,低风险
28,家居,可公开
29,房产,中风险
30,时尚,低风险
31,时政,高风险
32,时政,高风险
33,时政,高风险
34,时政,高风险
35,财经,高风险
36,房产,中风险
37,房产,中风险
38,时尚,低风险
39,时尚,低风险
40,财经,高风险
41,游戏,低风险
42,房产,中风险
43,时政,高风险
44,游戏,低风险
45,时政,高风险
46,科技,中风险
47,家居,可公开
48,家居,可公开
49,游戏,低风险
50,时尚,低风险
51,游戏,低风险
52,房产,中风险
53,游戏,低风险
54,科技,中风险
55,游戏,低风险
56,游戏,低风险
57,房产,中风险
58,时尚,低风险
59,游戏,低风险
60,财经,高风险
61,时政,高风险
62,时政,高风险
63,时政,高风险
64,财经,高风险
65,游戏,低风险
66,房产,中风险
67,时政,高风险
68,游戏,低风险
69,财经,高风险
70,游戏,低风险
71,家居,可公开
72,时尚,低风险
73,时尚,低风险
74,科技,中风险
75,时政,高风险
76,房产,中风险
77,游戏,低风险
78,房产,中风险
79,家居,可公开
80,家居,可公开
81,房产,中风险
82,教育,低风险
83,游戏,低风险
84,时尚,低风险
85,时政,高风险
86,财经,高风险
87,房产,中风险
88,时政,高风险
89,家居,可公开
90,家居,可公开
91,科技,中风险
92,时政,高风险
93,房产,中风险
94,时尚,低风险
95,教育,低风险
96,房产,中风险
97,家居,可公开
98,时政,高风险
99,时尚,低风险
100,财经,高风险
101,时尚,低风险
102,房产,中风险
103,游戏,低风险
104,体育,可公开
105,时尚,低风险
106,时政,高风险
107,时尚,低风险
108,游戏,低风险
109,房产,中风险
110,房产,中风险
111,时政,高风险
112,科技,中风险
113,时政,高风险
114,时政,高风险
115,时政,高风险
116,时政,高风险
117,娱乐,可公开
118,时政,高风险
119,科技,中风险
120,时尚,低风险
121,财经,高风险
122,科技,中风险
123,房产,中风险
124,游戏,低风险
125,时政,高风险
126,时尚,低风险
127,游戏,低风险
128,时政,高风险
129,时政,高风险
130,时政,高风险
131,房产,中风险
132,财经,高风险
133,游戏,低风险
