10.1145/2339530.2339653,10.1145/2339530.2339653
10.1145/3292500.3330865,10.1145/3219819.3220122
10.1145/2487575.2487580,10.1145/2187836.2187864
10.1145/2806416.2806455,10.1145/2484028.2484097
10.1145/2505515.2507665,10.1145/2396761.2398568
10.1145/2783258.2783339,10.1145/2623330.2623623
10.1145/2396761.2398416,10.1145/2396761.2398416
10.1145/3308558.3313417,10.1145/3097983.3098063
10.1145/3219819.3220001,10.1145/3132847.3132919
10.1145/3178876.3186002,10.1145/1963405.1963495
10.1145/3209978.3210117,10.1145/3209978.3210117
10.1145/3292500.3330888,10.1145/3219819.3220041
10.1145/2783258.2783385,10.1145/2736277.2741640
10.1145/3209978.3209996,10.1145/2911451.2911489
10.1145/3292500.3330867,10.1145/2736277.2741093
10.1145/2600428.2609511,10.1145/2484028.2484063
10.1145/3219819.3220046,10.1145/3097983.3098095
10.1145/3269206.3271800,10.1145/3209978.3210041
10.1145/3132847.3132936,10.1145/3132847.3132963
10.1145/2766462.2767796,10.1145/2600428.2609472
10.1145/1835449.1835470,10.1145/1835449.1835470
10.1145/2623330.2623665,10.1145/2623330.2623665
10.1145/3178876.3186150,10.1145/3178876.3186150
10.1145/2348283.2348339,10.1145/1835449.1835455
10.1145/3077136.3080824,10.1145/2600428.2609626
10.1145/2600428.2609511,10.1145/2505515.2505688
10.1145/2661829.2661960,10.1145/2348283.2348364
10.1145/3077136.3080716,10.1145/3077136.3080716
10.1145/3132847.3132898,10.1145/1835804.1835942
10.1145/2911451.2914684,10.1145/2484028.2484163
10.1145/3269206.3272021,10.1145/1772690.1772758
10.1145/2009916.2009941,10.1145/2009916.2009941
10.1145/1871437.1871609,10.1145/1871437.1871609
10.1145/2396761.2398648,10.1145/1871437.1871451
10.1145/2783258.2783396,10.1145/2783258.2783396
10.1145/1963405.1963433,10.1145/1963405.1963433
10.1145/2433396.2433403,10.1145/2339530.2339735
10.1145/1835449.1835590,10.1145/1835449.1835590
10.1145/2433396.2433431,10.1145/2063576.2063870
10.1145/3308558.3313534,10.1145/2487575.2487678
10.1145/2020408.2020508,10.1145/2020408.2020508
10.1145/2505515.2505520,10.1145/2505515.2505520
10.1145/3308558.3313499,10.1145/2872427.2883002
10.1145/3209978.3210136,10.1145/3077136.3084150
10.1145/1835449.1835669,10.1145/1835449.1835669
10.1145/1871437.1871595,10.1145/1871437.1871595
10.1145/3038912.3052582,10.1145/2488388.2488400
10.1145/3289600.3291022,10.1145/2348283.2348358
10.1145/3292500.3330848,10.1145/2939672.2939754
10.1145/2484028.2484051,10.1145/2009916.2009942
10.1145/3178876.3186123,10.1145/2187836.2187907
10.1145/3178876.3186177,10.1145/2566486.2568011
10.1145/2433396.2433414,10.1145/2063576.2063599
10.1145/3292500.3330724,10.1145/3292500.3330724
10.1145/2983323.2983719,10.1145/2983323.2983719
10.1145/2911451.2914742,10.1145/2600428.2609577
10.1145/3219819.3220087,10.1145/1772690.1772749
10.1145/2939672.2939703,10.1145/1835804.1835810
10.1145/2063576.2063665,10.1145/1871437.1871567
10.1145/3308558.3313589,10.1145/3097983.3098026
10.1145/2736277.2741659,10.1145/2339530.2339621
10.1145/3357384.3357808,10.1145/3357384.3357808
10.1145/3038912.3052581,10.1145/2766462.2767755
10.1145/2939672.2939804,10.1145/2623330.2623745
10.1145/3292500.3330722,10.1145/2487575.2488217
10.1145/2872427.2883020,10.1145/2488388.2488493
10.1145/3077136.3080800,10.1145/2396761.2398596
10.1145/2983323.2983836,10.1145/2505515.2505751
10.1145/3292500.3330680,10.1145/3178876.3185996
10.1145/3269206.3271756,10.1145/1963405.1963500
10.1145/3132847.3133110,10.1145/2983323.2983777
10.1145/3269206.3271669,10.1145/2623330.2623619
10.1145/3292500.3330846,10.1145/3219819.3220049
10.1145/2806416.2806489,10.1145/2806416.2806489
10.1145/2661829.2662054,10.1145/2339530.2339617
10.1145/2600428.2609559,10.1145/1963405.1963500
10.1145/2484028.2484183,10.1145/2348283.2348388
10.1145/3209978.3210131,10.1145/2911451.2911528
10.1145/2806416.2806555,10.1145/2487575.2487645
10.1145/3357384.3357905,10.1145/3209978.3210011
10.1145/2736277.2741669,10.1145/2505515.2505682
10.1145/3308558.3313451,10.1145/3038912.3052592
10.1145/3357384.3357829,10.1145/2783258.2783329
10.1145/2783258.2788585,10.1145/2783258.2788585
10.1145/2806416.2806573,10.1145/2806416.2806573
10.1145/3269206.3271798,10.1145/3269206.3271798
10.1145/3209978.3210012,10.1145/2348283.2348385
10.1145/3038912.3052670,10.1145/3038912.3052670
10.1145/2020408.2020568,10.1145/2020408.2020568
10.1145/2505515.2505569,10.1145/1772690.1772767
10.1145/3289600.3290987,10.1145/2623330.2623348
10.1145/3308558.3313455,10.1145/2487575.2488198
10.1145/3308558.3313411,10.1145/3132847.3132889
10.1145/3357384.3357834,10.1145/1963405.1963487
10.1145/2939672.2939869,10.1145/2623330.2623626
10.1145/2661829.2661938,10.1145/1871437.1871683
10.1145/3269206.3272007,10.1145/3219819.3219823
10.1145/2872427.2883000,10.1145/2872427.2883000
10.1145/3038912.3052640,10.1145/3038912.3052640
10.1145/2661829.2661905,10.1145/2600428.2609561
10.1145/2020408.2020435,10.1145/1835449.1835513
10.1145/3269206.3271705,10.1145/2939672.2939766
10.1145/2783258.2788562,10.1145/2783258.2788562
10.1145/2783258.2788615,10.1145/2020408.2020604
10.1145/3357384.3358074,10.1145/3219819.3220024
10.1145/2488388.2488425,10.1145/2488388.2488425
10.1145/3331184.3331359,10.1145/3219819.3220115
10.1145/3292500.3330847,10.1145/2623330.2623732
10.1145/3292500.3330749,10.1145/2623330.2623633
10.1145/3219819.3219917,10.1145/3219819.3219917
10.1145/1871437.1871694,10.1145/1871437.1871694
10.1145/2736277.2741685,10.1145/2736277.2741685
10.1145/2939672.2939722,10.1145/2488388.2488510
10.1145/2661829.2661977,10.1145/2661829.2661977
10.1145/2187836.2187920,10.1145/2187836.2187920
10.1145/2872427.2883029,10.1145/2872427.2883029
10.1145/2766462.2767726,10.1145/1835449.1835522
10.1145/3269206.3271695,10.1145/2872427.2883037
10.1145/2556195.2556248,10.1145/2433396.2433467
10.1145/3097983.3098033,10.1145/3097983.3098033
10.1145/2661829.2661900,10.1145/2661829.2661900
10.1145/3308558.3313576,10.1145/2505515.2505665
10.1145/1718487.1718534,10.1145/1718487.1718534
10.1145/2348283.2348343,10.1145/2348283.2348343
10.1145/1871437.1871529,10.1145/1871437.1871529
10.1145/2433396.2433438,10.1145/2433396.2433438
10.1145/2806416.2806536,10.1145/2009916.2010127
10.1145/3331184.3331366,10.1145/3331184.3331366
10.1145/3132847.3133120,10.1145/3132847.3133120
10.1145/3132847.3132853,10.1145/2339530.2339651
10.1145/3209978.3210116,10.1145/2009916.2009938
10.1145/2661829.2661883,10.1145/2009916.2010023
10.1145/3269206.3271710,10.1145/2020408.2020504
10.1145/3018661.3018708,10.1145/2433396.2433418
10.1145/2488388.2488449,10.1145/2020408.2020480
10.1145/3308558.3314123,10.1145/3308558.3314123
10.1145/2684822.2685297,10.1145/2684822.2685297
10.1145/3159652.3162010,10.1145/3159652.3162010
10.1145/2348283.2348319,10.1145/1871437.1871594
10.1145/3097983.3098063,10.1145/2623330.2623645
10.1145/2009916.2009933,10.1145/1835449.1835475
10.1145/3219819.3220021,10.1145/2600428.2609578
10.1145/2600428.2609522,10.1145/1871437.1871498
10.1145/3308558.3313506,10.1145/1772690.1772698
10.1145/3159652.3159655,10.1145/2806416.2806501
10.1145/3178876.3186141,10.1145/3038912.3052677
10.1145/2009916.2010055,10.1145/1871437.1871586
10.1145/3178876.3186109,10.1145/3038912.3052564
10.1145/2505515.2507832,10.1145/2009916.2010123
10.1145/3292500.3332281,10.1145/2783258.2788613
10.1145/2063576.2063867,10.1145/2063576.2063867
10.1145/3308558.3313638,10.1145/2488388.2488416
10.1145/3077136.3080685,10.1145/2600428.2609529
10.1145/2766462.2767848,10.1145/2600428.2609633
10.1145/2872427.2883080,10.1145/2623330.2623677
10.1145/3292500.3330971,10.1145/2339530.2339537
10.1145/2009916.2010144,10.1145/2009916.2010144
10.1145/3077136.3084154,10.1145/3077136.3084154
10.1145/1772690.1772933,10.1145/1772690.1772933
10.1145/2872427.2883020,10.1145/2661829.2661912
10.1145/2623330.2623678,10.1145/2623330.2623678
10.1145/2983323.2983737,10.1145/2983323.2983737
10.1145/2566486.2568040,10.1145/2187836.2187940
10.1145/3331184.3331399,10.1145/2348283.2348385
10.1145/3097983.3098081,10.1145/3097983.3098081
10.1145/3219819.3219938,10.1145/3219819.3219938
10.1145/3159652.3159727,10.1145/3018661.3018665
10.1145/2983323.2983750,10.1145/2766462.2767752
10.1145/2835776.2835806,10.1145/1963405.1963443
10.1145/3292500.3330966,10.1145/3097983.3098094
10.1145/2484028.2484119,10.1145/2484028.2484119
10.1145/3132847.3132898,10.1145/2396761.2396791
10.1145/2487575.2487583,10.1145/2339530.2339709
10.1145/3292500.3330791,10.1145/3038912.3052569
10.1145/2766462.2767801,10.1145/2484028.2484056
10.1145/3269206.3271801,10.1145/3077136.3080809
10.1145/3308558.3313547,10.1145/2783258.2788585
10.1145/2806416.2806533,10.1145/2661829.2662067
10.1145/2124295.2124355,10.1145/1835449.1835459
